,c_value,d_value,gamma_value,mse
47,0.5,3,0.001,0.0044383843472855285
48,0.5,4,0.001,0.00422307879361306
49,0.5,5,0.001,0.00417371634318763
50,1.0,1,0.001,0.008454160271554087
51,1.0,2,0.001,0.00478595829806695
52,1.0,3,0.001,0.004368648848127214
53,1.0,4,0.001,0.0037680704197567126
54,1.0,5,0.001,0.0031324827847978728
55,5.0,1,0.001,0.008454159292532114
56,5.0,2,0.001,0.00478553912316953
57,5.0,3,0.001,0.0043421389333546554
58,5.0,4,0.001,0.0026827396103121038
59,5.0,5,0.001,0.002174249677935355
60,0.25,1,0.005,0.00845414078879278
61,0.25,2,0.005,0.004609705350700566
62,0.25,3,0.005,0.0022434554076173007
63,0.25,4,0.005,0.002246042164221999
64,0.25,5,0.005,0.003424034600953939
65,0.5,1,0.005,0.008454135994196534
66,0.5,2,0.005,0.004609098667795788
67,0.5,3,0.005,0.0022224809935582645
68,0.5,4,0.005,0.001967808255747116
69,0.5,5,0.005,0.001823077096010784
70,1.0,1,0.005,0.008454134330139817
71,1.0,2,0.005,0.00460899390917633
72,1.0,3,0.005,0.0022189480615475944
73,1.0,4,0.005,0.0019375333313279564
74,1.0,5,0.005,0.0017046435679889962
75,5.0,1,0.005,0.00845413335111788
76,5.0,2,0.005,0.004608964921113354
77,5.0,3,0.005,0.002217909155629902
78,5.0,4,0.005,0.001929635007873269
79,5.0,5,0.005,0.0016681417612587994
80,0.25,1,0.01,0.008454140901263653
81,0.25,2,0.01,0.004608956175462832
82,0.25,3,0.01,0.002192047326092789
83,0.25,4,0.01,0.0019443587392886344
84,0.25,5,0.01,0.0026053558829650055
85,0.5,1,0.01,0.008454136106667374
86,0.5,2,0.01,0.004608610717511954
87,0.5,3,0.01,0.002185439850017697
88,0.5,4,0.01,0.001779642478291093
89,0.5,5,0.01,0.0009050474367024321
90,1.0,1,0.01,0.008454134442610724
91,1.0,2,0.01,0.004608571819068643
92,1.0,3,0.01,0.0021850131051450836
93,1.0,4,0.01,0.001774486628899791
94,1.0,5,0.01,0.0008310395498722313
95,5.0,1,0.01,0.008454133463589008
96,5.0,2,0.01,0.004608563681987675
97,5.0,3,0.01,0.002184920258131374
98,5.0,4,0.01,0.0017736665110755165
99,5.0,5,0.01,0.000814451903920362
100,0.25,1,0.05,0.008454141532996595
101,0.25,2,0.05,0.004608821368553625
102,0.25,3,0.05,0.0021885417323442473
103,0.25,4,0.05,0.0018818816076161626
104,0.25,5,0.05,0.0018057380845040113
105,0.5,1,0.05,0.00845413673840045
106,0.5,2,0.05,0.004608561040627888
107,0.5,3,0.05,0.0021842909483739906
108,0.5,4,0.05,0.0017706043204636516
109,0.5,5,0.05,0.000648640936013969
110,1.0,1,0.05,0.00845413507434376
111,1.0,2,0.05,0.004608543458705655
112,1.0,3,0.05,0.0021842163233787857
113,1.0,4,0.05,0.0017700334810322107
114,1.0,5,0.05,0.0006463597529635413
115,5.0,1,0.05,0.008454134095322367
116,5.0,2,0.05,0.004608541928520389
117,5.0,3,0.05,0.002184214083049375
118,5.0,4,0.05,0.0017700280245132212
119,5.0,5,0.05,0.0006463533665565102
120,0.25,1,0.1,0.008454141645883184
121,0.25,2,0.1,0.0046088181704253195
122,0.25,3,0.1,0.002188489027918939
123,0.25,4,0.1,0.0018805805260614632
124,0.25,5,0.1,0.0017832821915550713
125,0.5,1,0.1,0.008454136851286901
