,c_value,d_value,gamma_value,mse
107,0.5,3,0.05,0.46436346367683706
108,0.5,4,0.05,0.4643634630511383
109,0.5,5,0.05,0.46436346419224966
110,1.0,1,0.05,0.45411085758469166
111,1.0,2,0.05,0.46436346336578443
112,1.0,3,0.05,0.46436346367760617
113,1.0,4,0.05,0.4643634639276647
114,1.0,5,0.05,0.4643634637226027
115,5.0,1,0.05,0.45411085768324916
116,5.0,2,0.05,0.4643634633660323
117,5.0,3,0.05,0.4643634636787508
118,5.0,4,0.05,0.46436346368397435
119,5.0,5,0.05,0.4643634636772272
120,0.25,1,0.1,0.45411092420074156
121,0.25,2,0.1,0.4643634635989841
122,0.25,3,0.1,0.4643634636060902
123,0.25,4,0.1,0.4643634633257511
124,0.25,5,0.1,0.464363463631008
125,0.5,1,0.1,0.4541109244523934
126,0.5,2,0.1,0.46436346359899033
127,0.5,3,0.1,0.4643634641130843
128,0.5,4,0.1,0.46436346487805213
129,0.5,5,0.1,0.46436346355238733
130,1.0,1,0.1,0.45411092446010526
131,1.0,2,0.1,0.46436346359901326
132,1.0,3,0.1,0.46436346330618494
133,1.0,4,0.1,0.46436346398258943
134,1.0,5,0.1,0.46436347181935694
135,5.0,1,0.1,0.45411092433297073
136,5.0,2,0.1,0.46436346359903774
137,5.0,3,0.1,0.4643634636933716
138,5.0,4,0.1,0.4643634633745889
139,5.0,5,0.1,0.4643634635916974
