,c_value,d_value,gamma_value,mse
118,5.0,4,0.05,0.011504909104864342
119,5.0,5,0.05,0.008123859155972262
120,0.25,1,0.1,0.039666839693978856
121,0.25,2,0.1,0.021246389416290104
122,0.25,3,0.1,0.017961702494494036
123,0.25,4,0.1,0.011809387214552625
124,0.25,5,0.1,0.011244014244016961
125,0.5,1,0.1,0.039666833361458036
126,0.5,2,0.1,0.021245865485622857
127,0.5,3,0.1,0.017953258558117413
128,0.5,4,0.1,0.011506427243728254
129,0.5,5,0.1,0.008129656911145332
130,1.0,1,0.1,0.039666830927941946
131,1.0,2,0.1,0.02124582953489728
132,1.0,3,0.1,0.017953113992862372
133,1.0,4,0.1,0.011504920324303699
134,1.0,5,0.1,0.008123871348612977
135,5.0,1,0.1,0.03966682933311314
136,5.0,2,0.1,0.021245826145666225
137,5.0,3,0.1,0.017953110329047513
138,5.0,4,0.1,0.011504907867674807
139,5.0,5,0.1,0.008123860086395795
